long_name;short_name;author;organization
"Жене, Жан.   Мастерская Альберто Джакометти / Жан Жене. - М. : Ад Маргинем Пресс, 2017. - 95 с. : ил. ; 19 см. - ISBN 978-5-91103-337-8.";Мастерская Альберто Джакометти;Жене Ж.;
"Чудакова, Мариэтта.   Мастер в грядущем : Концепция развития музея М. Булгакова / М. Чудакова, И. Мишина. - М. : [Музей Михаила Афанасьевича Булгакова], 2017. - 80 с. : ил. ; 22 см. - ISBN 978-5-906596-06-1.";Мастер в грядущем;Чудакова М.;
"""Мартирос Сарьян"". выставка (2017-2018; Москва).   Мартирос Сарьян : [каталог выставки] / курат. выст. Л.Н. Бобровская, Р.Л. Сарьян. - Ереван : [Б.и.], 2017. - 55 с. : ил. ; 21 см. - Библиогр. в подстр. примеч. - Государственная Третьяковская галерея (Москва): 16 нояб. 2017  14 янв. 2018.";Мартирос Сарьян;;Государственная Третьяковская галерея (Москва): 16 нояб. 2017  14 янв. 2018
"Астахов, Юрий Андреевич.   Мартин Джонсон Хид / Ю.А. Астахов. - М. : Белый город : Воскресный день, 2017. - 175 с. : ил. ; 30 см. - ISBN 978 5 7793 4636 8.";Мартин Джонсон Хид;Астахов Ю.А.;
"Рюдель, Андерс.   Мародеры : как нацисты разграбили художественные сокровища Европы / А. Рюдель. - М. : АСТ, 2017. - 480 с. ; 21 см. - Библиогр.: с. 462-478. - ISBN 978-5-17-104256-1.";Мародеры;Рюдель А.;
"«Мариано Фортуни - «Волшебник из Венеции». выставка (2016-2017; Санкт-Петербург).   Мариано Фортуни. ""Волшебник из Венеции"". Коллекционер. Художник, Кутюрье = Mariano Fortuny. ""The Magician of Venice"". Collector. Artist. Couturier / куратор: Т.Н. Лехович при участии Даниэлы Ферретти и Кьяры Скуарчины. - СПб. : Издательство Государственного Эрмитажа, 2017. - 295 с. : ил. ; 28 см. - Гос. Эрмитаж, Главный штаб (СПб.):  07.12.2016 г. - 12.03. 2017. - ISBN 978-5-93572-705-5.";"Мариано Фортуни. ""Волшебник из Венеции"". Коллекционер. Художник, Кутюрье";;Гос. Эрмитаж, Главный штаб (СПб.):  07.12.2016 г. - 12.03. 2017
"«Маноло Бланик. Обувь как искусство». выставка (2017; Санкт-Петербург).   Маноло Бланик : Обувь как искусство : [каталог] / Т.В. Бабошина, Кристина Карилло де Альборноз. - СПб. : Издательство Государственного Эрмитажа, 2017. - 163 с. : ил. ; 24 см. - ISBN 978-5-93572-717-8.";Маноло Бланик;;
"""Людовик Святой и реликвии Сент-Шапель"". выставка (2017; Москва).   Людовик Святой и реликвии Сент-Шапель = Saint Louis and Relics of the Sainte-Chapelle : [каталог] / составители каталога: Ольга Дмитриева, Татьяна Атамуратова. - М. : Московский Кремль, 2017. - 303 с. : ил. ; 28 см. - Библиогр.: с. 290-301. - Музеи Кремля (Москва): 03.03.-04.06. 2017. - ISBN 978-5-88678-305-6.";Людовик Святой и реликвии Сент-Шапель;;Музеи Кремля (Москва): 03.03.-04.06. 2017
"""Люди, звери, боги. Предметы первобытного искусства Северного Приуралья"". выставка (2016-2017; Сыктывкар).   Люди, звери, боги : Предметы первобытного искусства Северного Приуралья : каталог выставки. - Сыктывкар : Государственный Эрмитаж, 2017. - 99 с. : ил. ; 30 см. - Библиогр.: с. 97-99. -  Национальный музей республики Коми (Сыктывкар): 17 окт. 2016 - 19 фев. 2017. - ISBN 978-5-7934-0700-7.";Люди, звери, боги;; Национальный музей республики Коми (Сыктывкар): 17 окт. 2016 - 19 фев. 2017
"Злочевский, Гарольд Давидович.   Люди и книги : Записки библиофила / Г.Д. Злочевский. - М. : Русскiй Мiръ, 2017. - 440 c. : ил. ; 24 см. - Библиогр. в примеч. - ISBN 978-5-89577-223-2.";Люди и книги;Злочевский Г.Д.;
"Плаксин, Сергей Георгиевич.   Люди Древнего Рима на монетах и в портретах : (от царей до принципата) / С.Г. Плаксин. - М. : ""Сам Полиграфист"", 2017. - 873, [7] с. : ил. ; 25 см. - (Библиотека античной истории и нумизматики). - ISBN 978-5-00077-540-0.";Люди Древнего Рима на монетах и в портретах;Плаксин С.Г.;
"""Лицом к будущему.  Искусство Европы 1945-1968"". выставка (2016-2017; Брюссель /Карлсруэ /Москва).   Лицом к будущему. Искусство Европы 1945-1968 / науч. ред.: Данила Булатов, Александра Данилова. - Brussels : Bozar, 2017. - 500 c. : ил. ; 29 см. - ISBN 978-5-906480-11-8.";Лицом к будущему. Искусство Европы 1945-1968;;
"""Лицевые рукописи XI-XVII веков. Проблемы и аспекты изучения"". научная конференция (2011; Москва).   Лицевые рукописи XI-XVII веков. Проблемы и аспекты изучения : Материалы научной конференции / автор-сост. Е.В. Гладышева. - М. : Государственная Третьяковская галерея, 2017. - 320 с. ; 21 см  + Иллюстративный материал на DVD. - (Научные конференции, круглые столы, симпозиумы). - Библиогр. в постат. примеч. - ГТГ (Москва): 24-25 октября 2011. - ISBN 978-5-89580-200-7.";Лицевые рукописи XI-XVII веков. Проблемы и аспекты изучения;;ГТГ (Москва): 24-25 октября 2011
"   Литературные манифесты и декларации русского модернизма / ответственные редакторы: Ю. К. Герасимов, Е. И. Гончарова. - СПб. : Пушкинский Дом	, 2017. - 952 с. : ил. ; 25 см. - В надзаг.: Институт русской литературы (Пушкинский дом)  РАН. - ISBN 978-5-91476-070-7.";Литературные манифесты и декларации русского модернизма;;В надзаг.: Институт русской литературы (Пушкинский дом)  РАН
"""Леонид Кривицкий"". выставка (2017; Санкт-Петербург).   Леонид Кривицкий (1932-2015) : [кат. выст.] /  ; авт. ст. А. Верстов ; сост. О. Глушкова. - СПб. : Palace Editions, 2017. - 144 с. : ил. ; 23 см. - (Гос. Русский музей: Альманах ; вып. 500). - Гос. Русский музей (С.-Петербург): 31 мая —31 июля 2017. - ISBN 978-5-93332-584-0.";Леонид Кривицкий (1932-2015);;Гос. Русский музей (С.-Петербург): 31 мая —31 июля 2017
"Кокорин, Анатолий Владимирович.   Ленинградский альбом / рис. А.В. Кокорина. - СПб. ; М. : Речь, 2017. - 64 с. : ил. ; 26 см. - ISBN 978-5-9268-2536-4.";Ленинградский альбом;Кокорин А.В.;
"Ребрик, Виктор Васильевич.   Лекции по истории Древнего Востока : От ранней архаики  до раннего средневековья / В.В. Ребрик. - СПб. : Алетейя	, 2017. - 502 с. : ил. ; 22 см. - (Историческая книга). - Библиогр. в конце разд. - ISBN 978 5 906910 51 6.";Лекции по истории Древнего Востока;Ребрик В.В.;
"Алексеев, Евгений Павлович.   Лев Эппле / Е. П. Алексеев, В.А. Черепов. - М.-Екатеринбург : Кабинетный ученый, 2017. - 304 с. : ил. ; 21 см. - Библиогр.: с. 275-276. - ISBN 978-5-7584-0160-6.";Лев Эппле;Алексеев Е. П.;
"Голынец, Сергей Васильевич.   Лев Самойлович Бакст : Графика, живопись, театр / С.В. Голынец. - М. : БуксМАрт, 2017. - 406, [1]  с. : ил., портр. ; 30 см. - Библиогр.: с.386-391. - На авантит.: Российская академия художеств, Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Гуманитарный университет. Екатеринбург. - ISBN 978-5-906190-80-2.";Лев Самойлович Бакст;Голынец С.В.;На авантит.: Российская академия художеств, Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Гуманитарный университет. Екатеринбург
"""Кучумовские чтения"". конференция (2017; Санкт-Петербург).   Кучумовские чтения : Сборник докладов научной конференции : Атрибуция, история и судьба предметов из императорских коллекций / общ. ред. Р.Р. Гафифуллина. - Санкт-Петербург : ГМЗ ""Павловск"", 2017. - 278 с. : ил. ; 22 см. - Библиогр. в подстр. примеч. - В надзаг.:  Государственный музей-заповедник ""Павловск"". - Государственный музей-заповедник ""Павловск"" (Санкт-Петербург): 25 - 26 мая 2017. - ISBN 978-5-91816-034-3.";Кучумовские чтения;;"В надзаг.:  Государственный музей-заповедник ""Павловск"""
"""Кружево и веера из собрания Государственного музея-заповедника ""Павловск"""".  выставка (2017 - [2019]; Павловск).   Кружево и веера из собрания Государственного музея-заповедника ""Павловск"" : каталог выставки / авт. кат. Н.М. Вершинина. - СПб. : ГМЗ ""Павловск"", 2017. - 143 с. : ил. ; 20 см. - Библиогр.: с. 143. - ГМЗ ""Павловск"" (Павловск): с 8 дек. 2017 . - ISBN 978-5-91816-038-1.";"Кружево и веера из собрания Государственного музея-заповедника ""Павловск""";;"ГМЗ ""Павловск"" (Павловск): с 8 дек. 2017 "
"Гропиус, Вальтер.   Круг тотальной архитектуры / Вальтер Гропиус ; пер.: А.С. Пинскер. - М. : Ад Маргинем Пресс, 2017. - 207 с. : ил. ; 20 см. - Библиогр. трудов Вальтера Гропиуса: с. 204-207. - ISBN 978-5-91103-387-3.";Круг тотальной архитектуры;Гропиус В.;
"""Краснота спасет мир?"". выставка (2017; Москва).   Краснота спасет мир? : 100 лет, которые потрясли... : Журналы 1900-1930-х годов из коллекции Алексея и Сергея Венгеровых : [Каталог выставки] / Куратор проекта Галина Кузьмина ; дизайн экспозиции Диана Майорова. - М. : Б.и., 2017. - 85 с. : ил. ; 24 см. -  Галерее «На Каширке» (Москва): 4 ноября - 9 декабря 2017.";Краснота спасет мир?;; Галерее «На Каширке» (Москва): 4 ноября - 9 декабря 2017
"   Красавец мужчина : Русский модник середины XVIII - начала XX века / автор текста, составитель: Н.М. Виноградова. - М. : Государственный исторический музей, 2017. - 250 с. : ил. ; 29 см. - Библиогр.: с. 241-245. - ISBN 978-5-89076-328-0.";Красавец мужчина;;
"""Копейка рубль бережет"". выставка (2017; Санкт-Петербург).   Копейка рубль бережет : [каталог] / науч. рук. Е. Петрова ; авт. ст. И. Воронцова, Р. Краснов, А. Полищук. - СПб. : Palace Editions, 2017. - 96 с. : ил. ; 23 см. - (Гос. Русский музей: Альманах ; Вып. 494). - Гос. Русский музей, Строгановский дворец (Санкт-Петербург): 1 мар. - 15 мая 2017. - ISBN 978-5-93332-574-1.";Копейка рубль бережет;;Гос. Русский музей, Строгановский дворец (Санкт-Петербург): 1 мар. - 15 мая 2017
"""Константин Сомов"". выставка (2017; Санкт-Петербург).   Константин  Андреевич Сомов. 1869-1939 : Живопись. Графика. Печатная графика. Фарфор. Фотоархив : [Каталог выставки]. - СПб. : KGallery, 2017. - 219 c. : ил., портр. ; 29 см. - Библиогр.: с.199-201. - Галерее искусств «KGallery» (Санкт-Петербург): 24 марта - 14 мая 2017. - ISBN 978-5-9909497-9-9.";Константин  Андреевич Сомов. 1869-1939;;Галерее искусств «KGallery» (Санкт-Петербург): 24 марта - 14 мая 2017
"   Коллекция Иосифа и Нелли Кобзон : Русское искусство XVIII-XX веков. Фарфор, серебро, живопись и графика / сост. А.А. Махотина. - Б.м. : Б.и., 2017. - 272 с. : ил. ; 34 см. - Библиогр.: с. 267-270. - На форзаце дарств. надпись М.Д. Лошак от И. Кобзона.";Коллекция Иосифа и Нелли Кобзон;;На форзаце дарств. надпись М.Д. Лошак от И. Кобзона
"Савинская, Любовь Юрьевна.   Коллекция живописи князей Юсуповых / Л.Ю. Савинская. - М. : Б.и., 2017. - 976 с. : ил. ; 23 см. - Библиогр.: с. 885-926. - ISBN 978-5-8493-0328-4.";Коллекция живописи князей Юсуповых;Савинская Л.Ю.;
"Худолей, Вениамин Викторович.   Книжные знаки и семья Романовых / В. В. Худолей. - М. : Издательский Дом ТОНЧУ, 2017. - 270, [1] с. : ил., портр. ; см. - ISBN 978-5-91215-126-2.";Книжные знаки и семья Романовых;Худолей В. В.;
   Фанагория : Результаты археологических исследований. - М. : Институт археологии РАН, 2013-. - 32 см.   Том 5 : Клад позднебоспорских статеров из Фанагории / М.Г. Абрамзон, В.Д. Кузнецов. -  2017. - 749 с. : ил. - Библиогр.: с. 495-498. - ISBN 978-5-94375-215-5.;Клад позднебоспорских статеров из Фанагории;;
"Кандинская, Нина Николаевна.   Кандинский и я / Н.Н. Кандинская ; Н.Б. Автономова. - М. : Искусство-XXI век	, 2017. - xxxii, 312 с. : ил., [8] л. ил. ; 23 см. - (Записки художника). - Библиогр. в коммент. - ISBN 978-5-98051-157-9.";Кандинский и я;Кандинская Н.Н.;
"Томпсон, Дональд.   Как продать за $12 миллионов чучело акулы : Скандальная правда о современном искусстве и аукционных домах / Д. Томпсон ; пер. с англ. Н. Лисовой. - СПб. : Азбука, 2017. - 415 с., [4] л. ил. : ил. ; 20 см. - Библиогр.: с. 399-409. - ISBN 978-5-389-13019-7.";Как продать за $12 миллионов чучело акулы;Томпсон Д.;
"Уильямс, Гильда.   Как писать о современном искусстве = How to Write About Contemporary Art / Г. Уильямс ; пер. Е. Рубиновой. - М. : Ад Маргинем Пресс, 2017. - 367 с. : ил. ; 21 см. - (Garage Pro). - Библиогр.: с. 354-361. - ISBN 978-5-91103-338-5.";Как писать о современном искусстве;Уильямс Г.;
"   Итальянское искусство XIV-XX веков  : из собрания Государственного музея истории религии /  ; авт.-сост. Р.Т. Рашкова. - СПб. : Государственный музей истории религии, 2017. - 99 с. : ил. ; 25 см. - ISBN 978-5-9905728-5-0.";Итальянское искусство XIV-XX веков ;;
"   Италия-Россия : Четыре века музыки / авт. идеи Ч.М. Раеальини ; ред.-сост. Л. Кириллина. - М.	 : ABCdesign, 2017. - 440 c. : ил. ; 35 см. - Библиогр. в постат. примеч. - ISBN 978 5  9500663 0 6.";Италия-Россия;;
"Соснина, Елена Борисовна.   Италия Ивана Цветаева: путями эпиграфики = L'Italia di Ivan Cvetaev: percorsi epigrafici / Е.Б. Соснина ; науч. ред. Н.Н. Казанский. - М. : Старая Басманная, 2017. - 248 c., [32] л. ил. : ил. ; 22 см. - (Русская Италия=Italia dei russi / куратор серии М.Г. Талалай). - Библиогр.: с. 236-244. - ISBN 978-5-906-470-86-7.";Италия Ивана Цветаева: путями эпиграфики;Соснина Е.Б.;
"   История Франции = Histoire de France / под общ. ред Ж. Карпантье, Ф. Лебрен ; предисл. Ж. Ле Гоффа. - СПб. : Евразия, 2017. - 608 с. : ил. ; 21 см. - Библиогр.: с. 577-587. - ISBN 978-5-8071-0366-6.";История Франции;;
"   История Средневековья :  энциклопедия под редакцией Умберто Эко / пер. с итал. Т. Никитинской и др. - М. : Просвещение, 2017. - 445, [2] с. : ил. ; 32 см. - (Коллекция). - ISBN 978-5-09-047187-9.";История Средневековья;;
"Маньен, Шарль.   История марионеток в Европе с древнейших времен до наших дней / Ш. Маньен. - М. : ""Канон+"" : Play&Play : Реабилитация, 2017. - 288 с. : ил. ; 22 см. - Библиогр. в подстр. примеч. - ISBN 978-5-883730022-0.";История марионеток в Европе с древнейших времен до наших дней;Маньен Ш.;
"«История кружева - история страны». конференция (2016; Москва).   История кружева - история страны : Сборник статей Международной научно-практической конференции / сост. Е.А. Рычкова. - М. : Технологии рекламы, 2017. - 195 с. : ил. ; 23 см. - Библиогр. в постат. примеч. - Всероссийский музей декоративно-прикладного и народного искусства (Москва): 3 нояб. 2016. - ISBN 978-5-906574-13-8.";История кружева - история страны;;Всероссийский музей декоративно-прикладного и народного искусства (Москва): 3 нояб. 2016
"Хокни, Дэвид.   История картин : От пещеры до компьютерного экрана : пер. с англ. / Д. Хокни, М. Гейфорд. - М. : Ад Маргинем Пресс, 2017. - 360 с. : ил. ; 29 см. - Библиогр.: с. 349. - ISBN 978-5-91103-371-2.";История картин;Хокни Д.;
"Яйленко, Валерий Петрович.   История и эпиграфика Ольвии, Херсонеса и Боспора VII в. до н.э. - VII в. н.э. = History and Ephigraphy of Olbia, Chersonesus and the Bosporus 7th Century B.C. - 7th Century A.D. / В. П. Яйленко. - СПб. : Нестор-История, 2017. - 1023 с. : ил. ; 25 см. - (Исторические исследования). - Библиогр.: с. 922-984. - ISBN 978-5-4469-0379-5.";История и эпиграфика Ольвии, Херсонеса и Боспора VII в. до н.э. - VII в. н.э.;Яйленко В. П.;
"Государственный Исторический музей.    Забелинские научные чтения. - М. : ГИМ, 1995 - 20 . - 22 см.   2014 : Исторический музей - энциклопедия отечественной истории и культуры / отв. ред.: А.Д. Яновский. -  2017. - 591 с. : ил. - (Труды Гос. Исторического музея ; Вып. 204). - Библиогр. в постат. примеч. - ISBN 978-5-89076-296-2.";Исторический музей - энциклопедия отечественной истории и культуры;;
"Сми, Себастьян.   Искусство соперничества : четыре истории о дружбе, предательстве и революционных свершениях в искусстве / С. Сми ; пер. с англ. Н. Роговской. - СПб. : Азбука, 2017. - 447 с., [4] л. ил. : ил. ; 21 см. - ISBN 978-5-389-11835-5.";Искусство соперничества;Сми С.;
"Калассо, Роберто.   Искусство издателя / Роберто Калассо. - М. : Ад Маргинем Пресс, 2017. - 159 с. : ил. ; 18 см. - (Garage Pro). - Библиогр.: с. 158-159. - ISBN 978-5-91103-351-4.";Искусство издателя;Калассо Р.;
"Князький, Игорь Олегович.   Император Траян / И.О. Князький. - СПб. : Алетейя	, 2017. - 160 с. ; 22 см. - (Новая античная библиотека : Исследования). - Библиогр. в примеч. - ISBN 978-5-906823-02-1.";Император Траян;Князький И.О.;
"Шилейко, Владимир Казимирович.   Избранные переводы : Эпос. Древняя поэзия. Мистерия / В.К. Шилейко, И. М. Дьяконов. - СПб. : Петрополис, 2017. - 356 с. : ил. ; 21 . - (""Корифеи художественного перевода. Петербургская школа""). - Библиогр.: с. 218-264. - ISBN 978-5-9676-0856-8.";Избранные переводы;Шилейко В.К.;
"""Иван Петрович Пожалостин 1837-1909: 180 лет со дня рождения"". выставка (2017; Рязань).   Иван Петрович Пожалостин 1837-1909 : 180 лет со дня рождения : Каталог выставки / авт. вступ. ст., сост. кат. Н. Павлова. - Рязань : Рязанский государственный областной художественный музей им. И.П. Пожалостина, 2017. - 71 с. : ил. ; см. - Рязанский государственный областной художественный музей им. И.П. Пожалостина (Рязань): 7 сен. - 21 нояб. 2017.";Иван Петрович Пожалостин 1837-1909;;Рязанский государственный областной художественный музей им. И.П. Пожалостина (Рязань): 7 сен. - 21 нояб. 2017
"Карпова, Татьяна Львовна.   Иван Крамской / Т.Л. Карпова. - М. : Государственная Третьяковская галерея, 2017. - 48 c. : ил. ; 28 см. - (Художник в Третьяковской галерее ; [13]). - Библиогр. в подстр. примеч. - ISBN 978-5-89580-20-14.";Иван Крамской;Карпова Т.Л.;
"""Иван Константинович Айвазовский. К 200-летию со дня рождения"". выставка (2016-2017; Санкт-Петербург).   Иван Айвазовский. Великий маринист : К 200-летию со дня рождения : [кат.выст.] / авт. ст. Г. Голдовский. - СПб. : Palace Editions, 2017. - 203 с. : ил. ; 30 см. - (Гос. Русский музей: Альманах ; вып. 506). - Библиогр. в постат. примеч. - Гос. Русский музей (С.-Петербург): 22 декабря 2016—20 марта 2017. - ISBN 978-5-93332-593-2.";Иван Айвазовский. Великий маринист;;Гос. Русский музей (С.-Петербург): 22 декабря 2016—20 марта 2017
"   Золото Херсонеса Таврического : Ювелирные изделия из собрания Государственного исторического музея = Gold of Tauric Chersonesos : Jewellery from the Collection of the State Historical Museum / Д.В. Журавлев, Е.Ю. Новикова, С.А. Коваленко, М.С. Шемаханская. - М. : ООО ""РИА Внешторгиздат"", 2017. - 360 с. : ил. ; 30 см. - (Крым в истории, культуре и экономике России). - Библиогр.: с. 223-233. - ISBN 978-5-902271-27-7.";Золото Херсонеса Таврического : Ювелирные изделия из собрания Государственного исторического музея;Журавлев Д.В.;
"""Зинаида Серебрякова "". выставка (2017; Москва).   Зинаида Серебрякова (1884-1967) / отв. ред. Т.Л. Карпова ; науч. ред. Т.А. Ермакова ; авт. ст. Т.А. Ермакова и др. - М. : [Государственная Третьяковская галерея], 2017. - 359 с. : ил. ; 31 см. - Библиогр.: с. 344-345. - Государственная Третьяковская галерея (Москва): 5 апр. - 30 июля 2017. - ISBN 978-5-89580-153-6.";Зинаида Серебрякова (1884-1967);;Государственная Третьяковская галерея (Москва): 5 апр. - 30 июля 2017
"Павлинов, Павел Сергеевич.   Зинаида Серебрякова : Мир ее искусства / П.С. Павлинов. - М. : Слово, 2017. - 432 c. : ил. ; 24 см. - Библиогр.: с. 425-427. - ISBN 978-5-387-01271-6.";Зинаида Серебрякова;Павлинов П.С.;
"Бялик, Валентина Моисеевна.   Зинаида Серебрякова / В.М. Бялик. - М. : Государственная Третьяковская галерея, 2017. - 47 с. : ил. ; 28 см. - (Художник в Третьяковской галерее ; [11]). - ISBN 978-5-89580-154-3.";Зинаида Серебрякова;Бялик В.М.;
"Жерихина, Елена Игоревна.   Зимний сезон в салонах Петербурга / Е.И. Жерихина. - СПб. : Аврора, 2017. - 64 с. : ил. ; 18 см. - (Библиотека ""Авроры"" ; [14]). - Библиогр.: с. 64. - ISBN 978-5-7300-0945-5.";Зимний сезон в салонах Петербурга;Жерихина Е.И.;
"   Зимний дворец. Октябрь 1917 : Сборник воспоминаний участников Октябрьской революции / авт. вступ. ст. Е.Ю. Селезнева. - СПб. : Издательство Государственного Эрмитажа, 2017. - 163 с. : ил. ; 24 см. - Библиогр.: с. 163. - ISBN 978-5-93572-752-9.";Зимний дворец. Октябрь 1917;;
"Кандинский, Василий Васильевич.   Звуки : [Альбом стихов и гравюр] / В.В. Кандинский ; сост, пер. с нем. и послесл. Б.М. Соколова. - [Репринтное  издание]. - М. : Кучково поле	, 2017. - [120], xxi, [4] с. : ил. ; 29 см. - Библиогр. в примеч. в конце кн. - Репр. воспр. изд.: Klänge / W. Kandinsky.  - München: R. Piper & co, 1912. - ISBN 978-5-9950-0746-3.";Звуки;Кандинский В.В.;Репр. воспр. изд.: Klänge / W. Kandinsky.  - München: R. Piper & co, 1912
"Басова, Ирина Геннадьевна.   Жилое строительство в Москве и Петербурге в 1730-1750-е годы : Владения фельдмаршала С.Ф. Апраксина / Ирина Геннадьевна Басова. -  : БуксМАрт, 2017. - 92 с. : ил., портр., факс. ; 26 см. - ISBN 978-5-906190-66-6.";Жилое строительство в Москве и Петербурге в 1730-1750-е годы;Басова И.Г.;
"Молева, Нина Михайловна.   Жизнь моя - живопись : (Константин Коровин в Москве) / Н.М. Молева. - Изд. 2-е, перераб. и доп. - М. : Новая реальность, 2017. - 103 с., [10] л. ил. ; 30 см. - На тит. л. автограф автора. - ISBN 978-5-905254-28-4.";Жизнь моя - живопись;Молева Н.М.;На тит. л. автограф автора
"   Государственный музей-заповедник ""Павловск"" : полный каталог коллекций / авт. проекта Н.С. Третьяков. - СПб. : ГМЗ ""Павловск"", 2007-20. - 27 см.   Т. 5 : Живопись.  Вып. 3 : Живопись Франции, Англии, Дании и Швеции XVII - XIX веков в собрании Павловского дворца / авт. вып. Н.И. Стадничук. -  2017. - 247 с. : ил. - Библиогр.: с. 239-244. - ISBN 978-5-91816-041-1.";Живопись;;
"Молева, Нина Михайловна.   Живописных дел мастера : (Канцелярия от строений и русская живопись первой половины XVIII века) / Н. Молева, Э. Белютин. - Изд. 2-е, перераб. и доп. - М. : Новая реальность, 2017. - 233 с. : ил., [9] л. ил. ; 30 см. - На тит. л. автограф автора. - ISBN 978-5-905254-26-0.";Живописных дел мастера;Молева Н.М.;На тит. л. автограф автора
"Анохина, Е.А.   Египет IV-I тысячелетия до н.э. : Больше, чем путеводитель / Е.А. Анохина, О.П. Дюжева, О.В. Томашевич. - М. : ГМИИ им. А.С. Пушкина, 2017. - 232 c. : ил. ; 24 см. - Библиогр.: с.230. - ISBN 978 5990993341.";Египет IV-I тысячелетия до н.э.;Анохина Е.А.;
"   История частной жизни = Histoire de la privée : [в 5 т.] / под. общ. ред. Филиппа Арьеса и Жоржа Дюби ; пер. с франц. Т. Пятницыной и Г. Беляевой ; под ред. В. Михайлина. - М. : Новое литературное обозрение, 2014-. - 21 см. - (Культура повседневности).   2. : Европа от феодализма до Ренессанса / Доминик Бартелеми, Филипп Браунштайн, Филипп Контамин... [и др.]. -  2017. - 782, [1] с. : ил. - Библиогр.: с. 753-767. - ISBN 978-5-4448-0293-9.";Европа от феодализма до Ренессанса;;
"Федотова, Елена Дмитриевна.   Дюссельдорфская школа живописи. 1819-1895 / Е.Д. Федотова. - М. : Белый город : Воскресный день, 2017. - 243 с. : ил. ; 30 с. - Библиогр.: с. 235-237. - ISBN 978-5-7793-5000-6.";Дюссельдорфская школа живописи. 1819-1895;Федотова Е.Д.;
"Шарый, Андрей Васильевич.   Дунай : река империй / А.В. Шарый. - М. : КоЛибри : Азбука-Аттикус, 2017. - 464 с. : ил. ; 25 см. - Библиогр.: с. 455-459. - ISBN 978-5-389-13535-2.";Дунай : река империй;Шарый А.В.;
"   Древнейший Пантикапей. От апойкии - к городу = The earliest Panticapaeum. From an apoikia to a city : По материалам исследований Боспорской (Пантикапейской) экспедиции ГМИИ имени А.С. Пушкина на горе Митридат / В.П. Толстиков, Н.С. Асташова, Г.А. Ломтадзе, О.Ю. Самар, О.В. Тугушева. - М. : ООО ""Издательство ""Перо"", 2017. - 396 с. : ил. ; 31 см. - (Крым в истории, культуре и экономике России). - Библиогр.: с. 220-234. - В надзаг.: Российский фонд фундаментальных исследований. - ISBN 978-5-00122-071-8.";Древнейший Пантикапей. От апойкии - к городу;;В надзаг.: Российский фонд фундаментальных исследований
"Дьяконицына, Анна Львовна.   Дмитрий Жилинский / А.Л. Дьяконицына. - М. : Государственная Третьяковская галерея, 2017. - 48 с. : ил. ; 28 см. - (Художник в Третьяковской галерее ; [10]). - ISBN 978-5-89580-165-9.";Дмитрий Жилинский;Дьяконицына А.Л.;
"   Династия Шервудов в истории и культуре России / Министерство культуры Российской Федерации, Рос. акад.  художеств, Гос. ист. музей, НИИ теории и  истории изобр. искусств при Рос. акад.  художеств ; авт.-сост. Е.А. Лукьянов, Ю.Р. Савельев ; [под науч. ред. Ю.Р. Савельева]. - М. : Кучково поле	Музеон : Фонд ""Связь Эпох"", 2017. - 502 с. : ил., [45]  л. ил., портр., факс. ; 27 см. - Библиогр. в конце ст. - На авантит.: К 260-летию Императорской Акад. художеств. К 145-летию Гос. ист.  музея. К 185-летию со дня рождения В.О. Шервуда. - ISBN 978-5-9950-0778-4.";Династия Шервудов в истории и культуре России;;На авантит.: К 260-летию Императорской Акад. художеств. К 145-летию Гос. ист.  музея. К 185-летию со дня рождения В.О. Шервуда
"Пчелов, Евгений Владимирович.   Династия Романовых / Е.В. Пчелов. - М. : Государственный исторический музей, 2017. - 183 с. : ил. ; 22 см. - (Войди в историю!). - Библиогр.: с. 180-183. - ISBN 978-5-89076-349-5.";Династия Романовых;Пчелов Е.В.;
"Махов, Александр Борисович.   Джорджоне / А.Б. Махов. - М. : Молодая гвардия, 2017. - 219 с. : ил. ; 18 см. - (Жизнь замечательных людей ; Вып. 107). - Библиогр.: с. 216. - ISBN 978-5-235-03944-5.";Джорджоне;Махов А.Б.;
"""Джорджо Моранди. 1890–1964"". выставка (2017; Москва).   Джорджо Моранди = Giorgio Morandi : 1890-1964 : работы из собраний Италии и России : [каталог] / сост.: Мария Кристина Бандера, В.Э. Маркова. - М. : Арт-Волхонка, 2017. - 360 с. : ил. ; 25 см. - Библиогр.: с.350-359 и в подстр. примеч. - ГМИИ им. А.С. Пушкина (Москва): 25 апр. - 10 сент. 2017. - Текст парал. на рус. и итал. яз. - ISBN 978 5 906848 27 7.";Джорджо Моранди;;ГМИИ им. А.С. Пушкина (Москва): 25 апр. - 10 сент. 2017
"""Джорджо  де Кирико. Метафизические прозрения"". выставка  (2017; Москва).   Джорджо  де Кирико : Метафизические прозрения = Giorgio de Chirico : metaphysical visions : [Каталог] / куратор: Джанни Меркурио ; в сотрудничестве с Татьяной Горячевой и Викторией Ноэль-Джонсон. - Treviso : Antiga edizioni, 2017. - 349 с. : ил. ; 27 см. - Государственная Третьяковская галерея (Москва): 20 апреля - 23 июля 2017. - ISBN 978-88-99657-81-9.";Джорджо  де Кирико : Метафизические прозрения;;Государственная Третьяковская галерея (Москва): 20 апреля - 23 июля 2017
